"Player Name" "1st Serve" "Break Points Saved" "Service Games Won" "2nd Srv. Return Won" "Break Points Won"
"Novak Djokovic" 64.9 65.4 85.6 55.1 44.3
"Rafael Nadal" 68.5 66.4 85.6 55.3 44.9
"Roger Federer" 62.0 67.3 88.8 50.9 41.2
"Dominic Thiem" 59.4 63.0 82.8 50.0 38.7
"Alexander Zverev" 62.9 60.7 81.3 50.7 42.6
"Stefanos Tsitsipas" 59.9 61.9 84.0 48.0 39.2
"Kei Nishikori" 61.1 61.2 80.5 52.9 41.0
"Kevin Anderson" 64.6 65.9 86.7 46.9 35.9
"Karen Khachanov" 60.7 63.2 82.3 49.2 39.4
"Fabio Fognini" 59.1 56.7 71.6 51.0 43.0
"Juan Martin Del Potro" 63.8 63.4 85.0 51.7 41.8
"John Isner" 69.0 70.8 91.7 42.0 30.8
"Daniil Medvedev" 58.6 62.1 80.0 51.5 39.7
"Borna Coric" 62.0 62.2 80.9 50.1 39.0
"Gael Monfils" 62.2 61.3 80.7 49.2 41.4
"Nikoloz Basilashvili" 61.1 58.6 74.2 49.9 38.7
"Milos Raonic" 62.8 69.3 91.0 45.9 36.0
"Marin Cilic" 56.4 63.9 83.8 50.2 39.1
"Stan Wawrinka" 57.8 63.8 82.6 49.5 39.4
"Matteo Berrettini" 61.5 63.8 85.5 46.8 33.6
"Felix Auger Aliassime" 64.3 64.0 80.1 47.5 40.0
"Roberto Bautista Agut" 65.8 62.2 80.0 52.6 41.6
"David Goffin" 58.4 60.5 77.9 53.0 41.3
"Diego Sebastian Schwartzman" 61.3 55.2 71.2 54.5 44.2
"Gilles Simon" 57.2 60.6 76.5 52.7 42.5
"Guido Pella" 65.1 62.2 77.8 51.4 37.7
"Denis Shapovalov" 58.0 63.9 82.4 47.3 37.7
"Lucas Pouille" 56.2 63.0 80.3 48.7 39.0
"Alex De Minaur" 60.9 60.1 76.8 51.6 38.9
"Laslo Djere" 60.1 60.9 78.4 47.9 33.8
"Kyle Edmund" 59.2 63.1 81.2 50.2 38.8
"Benoit Paire" 51.6 59.5 74.4 49.1 40.5
"Dusan Lajovic" 65.2 60.9 77.8 48.1 40.0
"Jan Lennard Struff" 55.9 61.0 80.4 48.5 37.8
"Christian Garin" 59.5 59.4 74.8 51.0 42.2
"Fernando Verdasco" 67.3 62.6 80.5 50.6 40.5
"Adrian Mannarino" 60.9 59.0 75.4 50.0 41.7
"Pierre Hugues Herbert" 59.1 63.1 82.3 44.9 37.0
"Frances Tiafoe" 61.6 58.6 79.1 48.7 37.7
"Marco Cecchinato" 66.5 56.1 74.9 48.2 37.0
"Radu Albot" 65.0 55.8 72.2 50.9 37.7
"Taylor Harry Fritz" 58.0 61.5 80.2 48.8 35.5
"Nick Kyrgios" 65.0 66.4 88.0 47.2 38.3
"Pablo Cuevas" 60.3 60.5 79.2 48.8 40.0
"Jordan Thompson" 63.0 57.8 75.4 48.9 39.5
"Richard Gasquet" 61.8 61.0 82.2 50.9 41.1
"Mikhail Kukushkin" 60.4 60.4 73.9 51.5 40.8
"Grigor Dimitrov" 62.1 62.8 82.8 49.0 37.6
"Cameron Norrie" 63.9 64.4 77.7 48.8 41.0
"Marton Fucsovics" 56.4 61.8 76.9 50.5 38.6
"Filip Krajinovic" 62.9 57.5 74.4 49.4 38.5
"Hubert Hurkacz" 62.7 62.7 78.7 47.4 37.7
"Feliciano Lopez" 58.7 65.7 83.9 44.4 35.6
"Martin Klizan" 58.4 61.3 75.1 50.8 41.3
"Nicolas Jarry" 63.1 64.0 82.5 46.0 37.7
"Leonardo Mayer" 61.2 62.1 82.0 47.9 36.9
"Philipp Kohlschreiber" 60.4 62.9 81.7 49.7 40.3
"John Millman" 62.7 57.2 76.0 50.4 41.6
"Pablo Carreno Busta" 63.6 59.3 76.4 51.9 42.5
"Casper Ruud" 65.6 62.7 79.0 49.6 42.6
"Reilly Opelka" 61.0 66.5 89.8 42.0 25.4
"Juan Ignacio Londero" 60.6 61.6 79.0 51.6 38.2
"Damir Dzumhur" 64.5 56.3 70.6 50.6 44.9
"Ugo Humbert" 59.4 63.8 83.4 46.5 38.8
"Daniel Evans" 60.6 60.0 76.7 50.2 42.0
"Joao Sousa" 60.9 58.2 75.4 48.4 38.0
"Yoshihito Nishioka" 64.1 58.7 70.9 53.5 40.4
"Mackenzie Mcdonald" 62.9 61.3 77.2 49.6 40.0
"Steve Johnson" 59.3 65.2 84.3 45.6 36.4
"Jo Wilfried Tsonga" 62.2 67.1 87.2 47.2 39.8
"Andreas Seppi" 58.1 59.6 76.2 50.0 40.6
"Roberto Carballes Baena" 61.9 59.1 74.6 51.1 43.6
"Robin Haase" 59.6 60.3 77.7 48.1 39.5
"Ricardas Berankis" 56.3 59.9 77.3 49.2 37.3
"Lorenzo Sonego" 61.0 62.5 81.3 46.4 32.2
"Federico Delbonis" 60.1 60.7 77.5 50.2 39.8
"Pablo Andujar" 63.4 57.0 70.1 51.6 39.7
"Andrey Rublev" 59.5 60.0 75.3 52.0 39.9
"Sam Querrey" 59.0 63.1 84.9 46.6 37.6
"Ivo Karlovic" 65.5 71.2 92.1 40.2 30.3
"Jeremy Chardy" 59.9 63.1 80.8 48.5 37.3
"Miomir Kecmanovic" 62.2 64.4 78.7 53.3 40.9
"Alexander Bublik" 60.2 52.3 70.6 46.6 39.6
"Marius Copil" 57.4 62.3 82.7 44.8 34.9
"Corentin Moutet" 67.0 53.7 65.3 48.6 37.6
"Aljaz Bedene" 56.9 58.1 76.4 48.8 38.9
"Lloyd George Muirhead Harris" 56.9 60.4 73.0 50.3 47.8
"Jaume Munar" 62.4 57.9 73.6 50.3 38.1
"Bradley Klahn" 61.7 56.7 74.5 42.7 34.6
"Ernests Gulbis" 60.3 63.8 81.4 47.7 37.6
"Matthew Ebden" 60.8 56.8 73.3 47.0 38.6
"Tennys Sandgren" 61.1 63.7 80.1 45.9 37.3
"Hugo Dellien" 72.4 61.0 68.6 53.2 32.9
"Prajnesh Gunneswaran" 61.7 47.7 74.2 48.6 37.3
"Henri Laaksonen" 59.9 58.4 75.7 49.2 39.0
"Yannick Maden" 63.7 60.1 71.6 49.7 39.2
"Albert Ramos" 61.8 60.5 76.2 49.7 40.2
"Malek Jaziri" 53.8 62.2 75.9 48.4 37.1
"Alexei Popyrin" 60.1 61.1 76.5 42.1 33.0
"Stefano Travaglia" 52.4 60.8 78.2 46.1 44.0
"Bernard Tomic" 66.3 63.7 81.1 47.6 36.3
"Thomas Fabbiano" 65.4 54.1 69.6 50.9 36.3
"Antonie Hoang" 70.8 57.1 75.0 48.6 39.3
"Dennis Novak" 64.0 61.5 73.7 51.7 40.9
"Marcel Granollers" 61.0 56.8 73.9 48.5 40.0
"Pedro Sousa" 70.8 55.4 65.1 53.3 43.2
"Paolo Lorenzi" 58.6 57.4 73.9 47.9 38.0
"Jiri Vesely" 64.1 63.0 80.1 47.9 37.9
"Denis Istomin" 65.2 61.8 79.7 47.6 38.3
"Taro Daniel" 62.9 57.7 70.6 50.3 38.8
"Kamil Majchrzak" 60.4 55.4 73.6 48.4 41.0
"Tomas Berdych" 58.0 63.7 84.4 52.0 41.5
"Denis Kudla" 58.3 58.6 74.8 48.3 40.7
"Brayden Schnur" 66.7 66.3 82.1 43.7 28.8
"Thiago Monteiro" 64.3 60.0 77.2 47.0 40.6
"Guido Andreozzi" 60.1 61.3 69.7 48.9 37.9
"Gregoire Barrere" 64.8 48.8 61.4 48.4 37.3
"Jason Jung" 65.6 67.0 77.6 49.4 35.7
"Mischa Zverev" 64.4 60.4 75.8 47.6 38.6
"Elias Ymer" 59.8 58.3 73.1 46.9 34.0
"Matthias Bachinger" 59.2 60.7 75.8 48.3 34.3
"Andrej Martin" 64.6 60.3 68.8 49.1 43.9
"Peter Gojowczyk" 54.8 59.5 77.7 49.4 39.2
"Mikael Ymer" 64.7 59.7 74.4 52.6 38.0
"Salvatore Caruso" 62.3 52.5 61.2 51.7 40.8
"Soon Woo Kwon" 54.5 40.0 73.9 46.9 33.3
"Pedro Martinez Portero" 65.4 46.4 57.1 45.7 35.3
"Ryan Harrison" 59.5 62.2 78.8 46.4 38.5
"Evgeny Donskoy" 58.6 62.2 77.1 46.1 34.1
"Lukas Rosol" 58.2 63.2 78.9 47.0 36.7
"Gianluca Mager" 58.4 44.4 58.3 47.6 42.9
"Dominik Koepfer" 57.4 61.9 78.9 47.4 23.5
"Alejandro Davidovich Fokina" 71.6 58.1 67.1 53.1 50.0
"Lorenzo Giustino" 56.4 42.1 59.3 26.4 20.0
"Bjorn Fratangelo" 56.7 57.2 73.2 50.2 42.1
"Tommy Paul" 62.1 58.6 75.8 49.8 35.4
"David Ferrer" 63.0 59.9 77.6 54.6 43.7
"Marcos Baghdatis" 53.1 60.3 79.9 50.2 40.3
"Sergiy Stakhovsky" 61.8 60.6 78.5 46.8 36.1
"Ilya Ivashka" 58.8 56.7 74.3 49.6 41.0
"Peter Polansky" 58.2 58.7 72.4 47.2 36.2
"Sebastian Ofner" 57.5 64.2 79.3 48.8 34.7
"Alex Bolt" 58.7 57.9 74.3 45.3 33.3
"Lukas Lacko" 58.7 57.7 76.4 47.1 36.5
"Nicolas Mahut" 60.9 61.3 80.9 46.1 38.2
"Kimmer Coppejans" 69.8 50.9 67.8 47.2 25.0
"James Duckworth" 56.2 63.2 78.1 45.4 36.1
"Adrian Menendez Maceiras" 60.6 55.1 70.5 46.9 37.3
"Rudolf Molleker" 60.0 60.0 76.4 44.6 27.1
"Dustin Brown" 60.7 63.7 80.5 45.3 36.8
"Filippo Baldi" 59.5 68.4 76.0 43.2 33.3
"Guillermo Garcia Lopez" 58.7 58.7 74.3 50.4 40.1
"Oscar Otte" 58.4 63.2 84.1 50.5 41.7
"Ramkumar Ramanathan" 57.8 61.1 80.5 47.9 34.1
"Michael Mmoh" 64.8 56.6 71.9 46.1 39.6
"Hyeon Chung" 62.2 56.9 77.3 53.1 42.6
"Dudi Sela" 60.3 56.1 71.8 50.7 40.4
"Marcos Giron" 62.3 71.2 80.0 46.9 28.0
"Tatsuma Ito" 58.0 54.1 72.0 48.2 36.0
"Quentin Halys" 59.6 64.1 78.9 47.5 33.6
"Norbert Gombos" 60.9 62.3 72.9 46.6 28.8
"Go Soeda" 55.6 53.0 70.0 46.8 35.7
"Alessandro Giannessi" 65.6 62.9 71.3 49.6 37.7
"Facundo Bagnis" 61.0 59.0 72.3 46.1 34.2
"Marco Trungelliti" 57.5 61.5 70.6 48.7 40.4
"Jay Clarke" 54.2 66.7 82.0 40.5 38.9
"Blaz Rola" 63.7 62.4 75.7 44.5 34.8
"Joao Domingues" 71.8 59.7 70.5 47.8 38.2
"Jozef Kovalik" 61.2 61.0 76.2 48.6 38.6
"Egor Gerasimov" 64.2 60.4 81.6 51.8 39.4
"Ruben Bemelmans" 64.2 61.9 78.8 47.0 36.5
"Mikael Torpegaard" 51.9 52.6 78.0 56.8 38.1
"Jack Sock" 58.3 63.5 82.5 48.0 38.8
"Tommy Robredo" 64.8 60.8 78.4 51.1 41.3
"Federico Gaio" 54.9 63.8 73.9 43.1 38.1
"Maximilian Marterer" 63.3 60.6 79.3 43.9 35.4
"Federico Coria" 70.1 27.3 65.2 62.2 63.6
"Filip Horansky" 62.1 53.3 70.2 44.9 52.6
"Stefano Napolitano" 60.1 60.0 72.1 56.7 31.3
"Facundo Arguello" 61.8 46.3 64.1 41.8 38.0
